feature,gini_importance,permutation_importance_mean,permutation_importance_std,rank,experiment,model,gain_importance,builtin_importance
Rolling_vol_60d,,0.001668690794267641,0.0008768184340995393,3,target_20d,XGBoost,0.06267736,0.06267736107110977
Ibovespa_return_20d,,0.0005999514209375556,0.0008855724578287014,4,target_20d,XGBoost,0.062478215,0.062478214502334595
Distance_to_MA200,,0.0020002428953120933,0.0006626202367384955,5,target_20d,XGBoost,0.061355792,0.06135579198598862
Rank_momentum_60d,,0.0005149380616953803,0.0010878239496548716,6,target_20d,XGBoost,0.05788001,0.057880010455846786
Return_60d,,0.0009230021860577864,0.000750267408071703,7,target_20d,XGBoost,0.057745475,0.05774547532200813
Rank_volatility_20d,,0.0016614039349040321,0.0004637265289978209,8,target_20d,XGBoost,0.057133235,0.05713323503732681
Rolling_vol_20d,,0.004134078212290481,0.0006093768511463211,9,target_20d,XGBoost,0.05313246,0.05313245952129364
Rank_volume,,0.0007845518581491185,0.0009815074675164211,10,target_20d,XGBoost,0.051594626,0.051594626158475876
ATR_14,,0.002162982754432824,0.0006143006845266503,11,target_20d,XGBoost,0.049078446,0.04907844588160515
Drawdown_60d,,0.0005404420694680335,0.0010212765848786767,12,target_20d,XGBoost,0.04868888,0.04868888109922409
Distance_to_MA50,,0.0009230021860577919,0.000976865034971103,13,target_20d,XGBoost,0.047834504,0.04783450439572334
Distance_to_MA20,,-0.001692980325479737,0.0007701198791606654,14,target_20d,XGBoost,0.04394203,0.043942030519247055
Return_20d,,0.00015666747631767897,0.0005297248280605172,15,target_20d,XGBoost,0.04176895,0.04176894947886467
Volume_ratio_5d_20d,,-0.0012606266699052959,0.0007202736838489995,16,target_20d,XGBoost,0.03669819,0.03669818863272667
Return_5d,,-0.0017743502550401024,0.0006948557354746129,17,target_20d,XGBoost,0.031146538,0.031146537512540817
Volume_zscore_20d,,-0.00032426524168086,0.0005873610947490436,18,target_20d,XGBoost,0.025018888,0.025018887594342232
Return_1d,,-0.00047850376487735825,0.000443847569253188,19,target_20d,XGBoost,0.022838427,0.022838426753878593
CDI_3m_change,0.1789257794374039,-0.03130772434405547,0.000956794075078503,1,target_60d,RandomForest,,0.1789257794374039
Rolling_vol_60d,0.09708811017757549,-0.009066856120924083,0.0008561269123059135,2,target_60d,RandomForest,,0.09708811017757549
Distance_to_MA200,0.07730165451751995,-0.0003809500477718719,0.0005633685533846457,3,target_60d,RandomForest,,0.07730165451751995
Rank_volume,0.07272029723250621,-0.00457997501163675,0.0005803185869454811,4,target_60d,RandomForest,,0.07272029723250621
Ibovespa_vol_20d,0.06231250278070912,-0.005126289228055569,0.001147472645918441,5,target_60d,RandomForest,,0.06231250278070912
Rank_volatility_20d,0.06036890703448372,-0.0014723535608417659,0.00046125345604654304,6,target_60d,RandomForest,,0.06036890703448372
Rolling_vol_20d,0.05266498375499878,-0.0012604424410201155,0.0005433026652508144,7,target_60d,RandomForest,,0.05266498375499878
Return_60d,0.05167245848724719,0.0017932825399936182,0.0003368061632215526,8,target_60d,RandomForest,,0.05167245848724719
Rank_momentum_60d,0.04994283082857438,0.0009762610549008954,0.0006878347151178265,9,target_60d,RandomForest,,0.04994283082857438
ATR_14,0.04514145351451157,0.0022207795389401984,0.0007403634358834172,10,target_60d,RandomForest,,0.04514145351451157
Ibovespa_return_20d,0.04209340110277211,-0.0007888483304343719,0.0006798735074635098,11,target_60d,RandomForest,,0.04209340110277211
Distance_to_MA50,0.039247038050614545,0.001647517087630751,0.0005193500919957062,12,target_60d,RandomForest,,0.039247038050614545
Drawdown_60d,0.035997439430027714,0.00016658908841469256,0.00039982702189613915,13,target_60d,RandomForest,,0.035997439430027714
Return_20d,0.030858971071363008,0.0030035032705357733,0.0004083523170291165,14,target_60d,RandomForest,,0.030858971071363008
